2048x2048 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 174.85 | seconds power is 2 | number of threads is 10 | block size is 32,,,
elapsed time = 178.35 | seconds power is 3 | number of threads is 10 | block size is 32,,,
elapsed time = 181.51 | seconds power is 4 | number of threads is 10 | block size is 32,,,
elapsed time = 185.00 | seconds power is 5 | number of threads is 10 | block size is 32,,,
elapsed time = 188.46 | seconds power is 6 | number of threads is 10 | block size is 32,,,
elapsed time = 191.71 | seconds power is 7 | number of threads is 10 | block size is 32,,,
elapsed time = 195.20 | seconds power is 8 | number of threads is 10 | block size is 32,,,
elapsed time = 198.51 | seconds power is 9 | number of threads is 10 | block size is 32,,,
elapsed time = 202.00 | seconds power is 10 | number of threads is 10 | block size is 32,,,
elapsed time = 205.40 | seconds power is 11 | number of threads is 10 | block size is 32,,,
elapsed time = 208.85 | seconds power is 12 | number of threads is 10 | block size is 32,,,
elapsed time = 212.31 | seconds power is 13 | number of threads is 10 | block size is 32,,,
elapsed time = 215.46 | seconds power is 14 | number of threads is 10 | block size is 32,,,
elapsed time = 218.95 | seconds power is 15 | number of threads is 10 | block size is 32,,,
elapsed time = 222.25 | seconds power is 16 | number of threads is 10 | block size is 32,,,
elapsed time = 225.49 | seconds power is 2 | number of threads is 10 | block size is 64,,,
elapsed time = 228.79 | seconds power is 3 | number of threads is 10 | block size is 64,,,
elapsed time = 232.41 | seconds power is 4 | number of threads is 10 | block size is 64,,,
elapsed time = 235.61 | seconds power is 5 | number of threads is 10 | block size is 64,,,
elapsed time = 239.41 | seconds power is 6 | number of threads is 10 | block size is 64,,,
elapsed time = 242.95 | seconds power is 7 | number of threads is 10 | block size is 64,,,
elapsed time = 246.27 | seconds power is 8 | number of threads is 10 | block size is 64,,,
elapsed time = 249.67 | seconds power is 9 | number of threads is 10 | block size is 64,,,
elapsed time = 252.95 | seconds power is 10 | number of threads is 10 | block size is 64,,,
