2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 110.71 | seconds power is 6 | number of threads is 6 | block size is 8,,,
elapsed time = 114.89 | seconds power is 7 | number of threads is 6 | block size is 8,,,
elapsed time = 119.08 | seconds power is 8 | number of threads is 6 | block size is 8,,,
elapsed time = 123.27 | seconds power is 9 | number of threads is 6 | block size is 8,,,
elapsed time = 127.46 | seconds power is 10 | number of threads is 6 | block size is 8,,,
elapsed time = 131.68 | seconds power is 11 | number of threads is 6 | block size is 8,,,
elapsed time = 135.94 | seconds power is 12 | number of threads is 6 | block size is 8,,,
elapsed time = 140.30 | seconds power is 13 | number of threads is 6 | block size is 8,,,
elapsed time = 144.68 | seconds power is 14 | number of threads is 6 | block size is 8,,,
elapsed time = 148.83 | seconds power is 15 | number of threads is 6 | block size is 8,,,
elapsed time = 153.00 | seconds power is 16 | number of threads is 6 | block size is 8,,,
elapsed time = 157.16 | seconds power is 2 | number of threads is 6 | block size is 16,,,
elapsed time = 161.31 | seconds power is 3 | number of threads is 6 | block size is 16,,,
elapsed time = 165.48 | seconds power is 4 | number of threads is 6 | block size is 16,,,
elapsed time = 169.63 | seconds power is 5 | number of threads is 6 | block size is 16,,,
elapsed time = 173.77 | seconds power is 6 | number of threads is 6 | block size is 16,,,
elapsed time = 177.91 | seconds power is 7 | number of threads is 6 | block size is 16,,,
elapsed time = 182.04 | seconds power is 8 | number of threads is 6 | block size is 16,,,
elapsed time = 186.17 | seconds power is 9 | number of threads is 6 | block size is 16,,,
elapsed time = 190.31 | seconds power is 10 | number of threads is 6 | block size is 16,,,
elapsed time = 194.48 | seconds power is 11 | number of threads is 6 | block size is 16,,,
elapsed time = 198.62 | seconds power is 12 | number of threads is 6 | block size is 16,,,
elapsed time = 202.76 | seconds power is 13 | number of threads is 6 | block size is 16,,,
elapsed time = 206.91 | seconds power is 14 | number of threads is 6 | block size is 16,,,
elapsed time = 211.05 | seconds power is 15 | number of threads is 6 | block size is 16,,,
elapsed time = 215.19 | seconds power is 16 | number of threads is 6 | block size is 16,,,
elapsed time = 219.39 | seconds power is 2 | number of threads is 6 | block size is 32,,,
elapsed time = 223.59 | seconds power is 3 | number of threads is 6 | block size is 32,,,
elapsed time = 227.80 | seconds power is 4 | number of threads is 6 | block size is 32,,,
elapsed time = 232.03 | seconds power is 5 | number of threads is 6 | block size is 32,,,
elapsed time = 236.24 | seconds power is 6 | number of threads is 6 | block size is 32,,,
elapsed time = 240.46 | seconds power is 7 | number of threads is 6 | block size is 32,,,
elapsed time = 244.68 | seconds power is 8 | number of threads is 6 | block size is 32,,,
elapsed time = 248.90 | seconds power is 9 | number of threads is 6 | block size is 32,,,
elapsed time = 253.11 | seconds power is 10 | number of threads is 6 | block size is 32,,,
elapsed time = 257.32 | seconds power is 11 | number of threads is 6 | block size is 32,,,
elapsed time = 261.52 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 265.78 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 270.03 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 274.22 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 278.41 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 282.79 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 287.25 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 291.65 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 295.97 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 300.46 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 304.90 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 309.35 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 313.75 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 318.20 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 322.68 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 327.00 | seconds power is 12 | number of threads is 6 | block size is 64,,,
elapsed time = 331.48 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 335.96 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 340.44 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 344.88 | seconds power is 16 | number of threads is 6 | block size is 64,,,
2048 6 thread done,,,
elapsed time = 5.04 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 9.93 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 14.81 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 19.69 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 24.58 | seconds power is 6 | number of threads is 8 | block size is 4,,,
