1024x1024 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 38.78 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 39.31 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 39.84 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 40.36 | seconds power is 16 | number of threads is 6 | block size is 64,,,
1024 6 thread done,,,
elapsed time = 0.51 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 1.00 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 1.49 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 1.99 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 2.47 | seconds power is 6 | number of threads is 8 | block size is 4,,,
elapsed time = 2.96 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 3.45 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 3.94 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 4.43 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 4.92 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 5.41 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 5.90 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 6.39 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 6.88 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 7.37 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 7.80 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 8.23 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 8.67 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 9.10 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 9.53 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 9.96 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 10.39 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 10.82 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 11.25 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 11.68 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 12.12 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 12.55 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 12.98 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 13.41 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 13.84 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 14.25 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 14.66 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 15.06 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 15.49 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 15.89 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 16.30 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 16.71 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 17.12 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 17.53 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 17.93 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 18.34 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 18.75 | seconds power is 13 | number of threads is 8 | block size is 16,,,
elapsed time = 19.16 | seconds power is 14 | number of threads is 8 | block size is 16,,,
elapsed time = 19.57 | seconds power is 15 | number of threads is 8 | block size is 16,,,
elapsed time = 19.98 | seconds power is 16 | number of threads is 8 | block size is 16,,,
elapsed time = 20.38 | seconds power is 2 | number of threads is 8 | block size is 32,,,
elapsed time = 20.79 | seconds power is 3 | number of threads is 8 | block size is 32,,,
elapsed time = 21.19 | seconds power is 4 | number of threads is 8 | block size is 32,,,
elapsed time = 21.65 | seconds power is 5 | number of threads is 8 | block size is 32,,,
elapsed time = 22.05 | seconds power is 6 | number of threads is 8 | block size is 32,,,
elapsed time = 22.46 | seconds power is 7 | number of threads is 8 | block size is 32,,,
elapsed time = 22.86 | seconds power is 8 | number of threads is 8 | block size is 32,,,
elapsed time = 23.26 | seconds power is 9 | number of threads is 8 | block size is 32,,,
elapsed time = 23.67 | seconds power is 10 | number of threads is 8 | block size is 32,,,
elapsed time = 24.08 | seconds power is 11 | number of threads is 8 | block size is 32,,,
elapsed time = 24.48 | seconds power is 12 | number of threads is 8 | block size is 32,,,
elapsed time = 24.89 | seconds power is 13 | number of threads is 8 | block size is 32,,,
elapsed time = 25.29 | seconds power is 14 | number of threads is 8 | block size is 32,,,
elapsed time = 25.69 | seconds power is 15 | number of threads is 8 | block size is 32,,,
elapsed time = 26.10 | seconds power is 16 | number of threads is 8 | block size is 32,,,
elapsed time = 26.50 | seconds power is 2 | number of threads is 8 | block size is 64,,,
elapsed time = 26.90 | seconds power is 3 | number of threads is 8 | block size is 64,,,
elapsed time = 27.30 | seconds power is 4 | number of threads is 8 | block size is 64,,,
elapsed time = 27.70 | seconds power is 5 | number of threads is 8 | block size is 64,,,
elapsed time = 28.10 | seconds power is 6 | number of threads is 8 | block size is 64,,,
elapsed time = 28.50 | seconds power is 7 | number of threads is 8 | block size is 64,,,
elapsed time = 28.91 | seconds power is 8 | number of threads is 8 | block size is 64,,,
elapsed time = 29.32 | seconds power is 9 | number of threads is 8 | block size is 64,,,
elapsed time = 29.72 | seconds power is 10 | number of threads is 8 | block size is 64,,,
elapsed time = 30.12 | seconds power is 11 | number of threads is 8 | block size is 64,,,
elapsed time = 30.52 | seconds power is 12 | number of threads is 8 | block size is 64,,,
elapsed time = 30.92 | seconds power is 13 | number of threads is 8 | block size is 64,,,
elapsed time = 31.32 | seconds power is 14 | number of threads is 8 | block size is 64,,,
elapsed time = 31.72 | seconds power is 15 | number of threads is 8 | block size is 64,,,
elapsed time = 32.12 | seconds power is 16 | number of threads is 8 | block size is 64,,,
1024 8 thread done,,,
elapsed time = 0.51 | seconds power is 2 | number of threads is 10 | block size is 4,,,
elapsed time = 1.02 | seconds power is 3 | number of threads is 10 | block size is 4,,,
elapsed time = 1.52 | seconds power is 4 | number of threads is 10 | block size is 4,,,
elapsed time = 2.02 | seconds power is 5 | number of threads is 10 | block size is 4,,,
elapsed time = 2.54 | seconds power is 6 | number of threads is 10 | block size is 4,,,
elapsed time = 3.04 | seconds power is 7 | number of threads is 10 | block size is 4,,,
elapsed time = 3.55 | seconds power is 8 | number of threads is 10 | block size is 4,,,
elapsed time = 4.06 | seconds power is 9 | number of threads is 10 | block size is 4,,,
elapsed time = 4.57 | seconds power is 10 | number of threads is 10 | block size is 4,,,
elapsed time = 5.08 | seconds power is 11 | number of threads is 10 | block size is 4,,,
elapsed time = 5.60 | seconds power is 12 | number of threads is 10 | block size is 4,,,
elapsed time = 6.10 | seconds power is 13 | number of threads is 10 | block size is 4,,,
elapsed time = 6.60 | seconds power is 14 | number of threads is 10 | block size is 4,,,
elapsed time = 7.11 | seconds power is 15 | number of threads is 10 | block size is 4,,,
elapsed time = 7.62 | seconds power is 16 | number of threads is 10 | block size is 4,,,
elapsed time = 8.07 | seconds power is 2 | number of threads is 10 | block size is 8,,,
elapsed time = 8.52 | seconds power is 3 | number of threads is 10 | block size is 8,,,
elapsed time = 8.97 | seconds power is 4 | number of threads is 10 | block size is 8,,,
elapsed time = 9.42 | seconds power is 5 | number of threads is 10 | block size is 8,,,
elapsed time = 9.87 | seconds power is 6 | number of threads is 10 | block size is 8,,,
elapsed time = 10.32 | seconds power is 7 | number of threads is 10 | block size is 8,,,
elapsed time = 10.77 | seconds power is 8 | number of threads is 10 | block size is 8,,,
elapsed time = 11.22 | seconds power is 9 | number of threads is 10 | block size is 8,,,
elapsed time = 11.67 | seconds power is 10 | number of threads is 10 | block size is 8,,,
elapsed time = 12.12 | seconds power is 11 | number of threads is 10 | block size is 8,,,
elapsed time = 12.58 | seconds power is 12 | number of threads is 10 | block size is 8,,,
elapsed time = 13.02 | seconds power is 13 | number of threads is 10 | block size is 8,,,
elapsed time = 13.47 | seconds power is 14 | number of threads is 10 | block size is 8,,,
elapsed time = 13.92 | seconds power is 15 | number of threads is 10 | block size is 8,,,
elapsed time = 14.37 | seconds power is 16 | number of threads is 10 | block size is 8,,,
elapsed time = 14.80 | seconds power is 2 | number of threads is 10 | block size is 16,,,
elapsed time = 15.23 | seconds power is 3 | number of threads is 10 | block size is 16,,,
elapsed time = 15.67 | seconds power is 4 | number of threads is 10 | block size is 16,,,
elapsed time = 16.10 | seconds power is 5 | number of threads is 10 | block size is 16,,,
elapsed time = 16.53 | seconds power is 6 | number of threads is 10 | block size is 16,,,
elapsed time = 16.97 | seconds power is 7 | number of threads is 10 | block size is 16,,,
elapsed time = 17.41 | seconds power is 8 | number of threads is 10 | block size is 16,,,
elapsed time = 17.84 | seconds power is 9 | number of threads is 10 | block size is 16,,,
elapsed time = 18.28 | seconds power is 10 | number of threads is 10 | block size is 16,,,
elapsed time = 18.72 | seconds power is 11 | number of threads is 10 | block size is 16,,,
elapsed time = 19.19 | seconds power is 12 | number of threads is 10 | block size is 16,,,
elapsed time = 19.61 | seconds power is 13 | number of threads is 10 | block size is 16,,,
elapsed time = 20.04 | seconds power is 14 | number of threads is 10 | block size is 16,,,
elapsed time = 20.48 | seconds power is 15 | number of threads is 10 | block size is 16,,,
elapsed time = 20.91 | seconds power is 16 | number of threads is 10 | block size is 16,,,
elapsed time = 21.37 | seconds power is 2 | number of threads is 10 | block size is 32,,,
elapsed time = 21.82 | seconds power is 3 | number of threads is 10 | block size is 32,,,
elapsed time = 22.30 | seconds power is 4 | number of threads is 10 | block size is 32,,,
elapsed time = 22.75 | seconds power is 5 | number of threads is 10 | block size is 32,,,
elapsed time = 23.20 | seconds power is 6 | number of threads is 10 | block size is 32,,,
elapsed time = 23.66 | seconds power is 7 | number of threads is 10 | block size is 32,,,
elapsed time = 24.12 | seconds power is 8 | number of threads is 10 | block size is 32,,,
elapsed time = 24.57 | seconds power is 9 | number of threads is 10 | block size is 32,,,
elapsed time = 25.04 | seconds power is 10 | number of threads is 10 | block size is 32,,,
elapsed time = 25.49 | seconds power is 11 | number of threads is 10 | block size is 32,,,
elapsed time = 25.94 | seconds power is 12 | number of threads is 10 | block size is 32,,,
elapsed time = 26.41 | seconds power is 13 | number of threads is 10 | block size is 32,,,
elapsed time = 26.85 | seconds power is 14 | number of threads is 10 | block size is 32,,,
elapsed time = 27.32 | seconds power is 15 | number of threads is 10 | block size is 32,,,
elapsed time = 27.78 | seconds power is 16 | number of threads is 10 | block size is 32,,,
elapsed time = 28.23 | seconds power is 2 | number of threads is 10 | block size is 64,,,
elapsed time = 28.68 | seconds power is 3 | number of threads is 10 | block size is 64,,,
elapsed time = 29.13 | seconds power is 4 | number of threads is 10 | block size is 64,,,
elapsed time = 29.59 | seconds power is 5 | number of threads is 10 | block size is 64,,,
elapsed time = 30.05 | seconds power is 6 | number of threads is 10 | block size is 64,,,
elapsed time = 30.50 | seconds power is 7 | number of threads is 10 | block size is 64,,,
elapsed time = 30.94 | seconds power is 8 | number of threads is 10 | block size is 64,,,
elapsed time = 31.39 | seconds power is 9 | number of threads is 10 | block size is 64,,,
elapsed time = 31.84 | seconds power is 10 | number of threads is 10 | block size is 64,,,
elapsed time = 32.28 | seconds power is 11 | number of threads is 10 | block size is 64,,,
